taxon,n.taxa
744_Phacidiopycnis_pyri,56817
181_Ascobolus_crenulatus,1684
906_Orbilia_auricolor,288
1076_Yarrowia_lipolytica,915
266_Protomyces_inouyei,153
471_Hydnum_albomagnum,20951
454_Dacryopinax_spathularia,101
1088_Cryptococcus_neoformans,377
710_Platygloea_disciformis,8324
865_Tilletiaria_anomala,1717
574_Geosiphon_pyriformis,169
141_Mortierella_verticillata,325
136_Dimargaris_bacillispora,264
145_Piptocephalis_corymbifera,190
301_Basidiobolus_ranarum,4
633_Olpidium_brassicae,45
137_Conidiobolus_coronatus,277
635_Synchytrium_macrosporum,653
26_Hyaloraphidium_curvatum,26
638_Neocallimastix_sp,20
19_Physoderma_maydis,179
297_Rozella_allomycis,25
